"No.","Time","Source","Destination","Protocol","Length","Info","RTT"
"185","18.163958","162.159.138.60","10.100.102.10","TCP","66","443  >  51168 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192","0.008297000"
"186","18.164110","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=1 Ack=1 Win=263168 Len=0","0.000152000"
"188","18.172310","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=1 Ack=658 Win=65536 Len=0","0.007069000"
"192","18.174122","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=658 Ack=2991 Win=263168 Len=0","0.000193000"
"195","18.205814","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=2991 Ack=1220 Win=65536 Len=0","0.022584000"
"199","18.617507","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=1220 Ack=4928 Win=263168 Len=0","0.000209000"
"232","18.619490","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=1220 Ack=46685 Win=263168 Len=0","0.000748000"
"255","18.620034","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=1220 Ack=69112 Win=263168 Len=0","0.000303000"
"4986","20.078801","162.159.138.60","10.100.102.10","TCP","66","443  >  51184 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192","0.006712000"
"4987","20.078893","10.100.102.10","162.159.138.60","TCP","54","51184  >  443 [ACK] Seq=1 Ack=1 Win=263168 Len=0","0.000092000"
"5024","20.087309","162.159.138.60","10.100.102.10","TCP","60","443  >  51184 [ACK] Seq=1 Ack=1149 Win=65536 Len=0","0.007431000"
"5032","20.088912","10.100.102.10","162.159.138.60","TLSv1.3","118","Change Cipher Spec, Application Data","0.000406000"
"5056","20.095889","162.159.138.60","10.100.102.10","TCP","60","443  >  51184 [ACK] Seq=294 Ack=2251 Win=65536 Len=0","0.006684000"
"5106","20.107979","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=69112 Ack=2257 Win=65536 Len=0","0.048790000"
"5408","20.301152","10.100.102.10","162.159.138.60","TCP","54","51184  >  443 [ACK] Seq=2251 Ack=2266 Win=263168 Len=0","0.000188000"
"5416","20.346762","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=2257 Ack=70225 Win=261888 Len=0","0.046065000"
"7628","21.081974","162.159.138.60","10.100.102.10","TCP","66","443  >  51187 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192","0.009528000"
"7629","21.082188","10.100.102.10","162.159.138.60","TCP","54","51187  >  443 [ACK] Seq=1 Ack=1 Win=263168 Len=0","0.000214000"
"7638","21.090665","162.159.138.60","10.100.102.10","TCP","60","443  >  51187 [ACK] Seq=1 Ack=665 Win=65536 Len=0","0.007544000"
"7643","21.094500","10.100.102.10","162.159.138.60","TCP","54","51187  >  443 [ACK] Seq=665 Ack=4870 Win=263168 Len=0","0.000215000"
"7646","21.112170","162.159.138.60","10.100.102.10","TCP","60","443  >  51187 [ACK] Seq=4870 Ack=1651 Win=65536 Len=0","0.006627000"
"7664","21.443217","10.100.102.10","162.159.138.60","TCP","54","51187  >  443 [ACK] Seq=1651 Ack=6611 Win=263168 Len=0","0.000141000"
"7683","21.652472","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=70225 Ack=3536 Win=65536 Len=0","0.007396000"
"9742","21.863404","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=3536 Ack=71727 Win=263168 Len=0","0.000375000"
"34808","30.319284","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51184 [ACK] Seq=2266 Ack=2251 Win=65536 Len=0 SLE=2250 SRE=2251","0.007375000"
"34811","31.454016","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51187 [ACK] Seq=6611 Ack=1651 Win=65536 Len=0 SLE=1650 SRE=1651","0.007470000"
"34814","31.879658","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51168 [ACK] Seq=71727 Ack=3536 Win=65536 Len=0 SLE=3535 SRE=3536","0.012144000"
"34834","40.431257","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51184 [ACK] Seq=2266 Ack=2251 Win=65536 Len=0 SLE=2250 SRE=2251","0.097385000"
"34836","40.739276","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=71727 Ack=4772 Win=65536 Len=0","0.008357000"
"34838","41.462967","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51187 [ACK] Seq=6611 Ack=1651 Win=65536 Len=0 SLE=1650 SRE=1651","0.007371000"
"34856","42.240883","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=4772 Ack=82640 Win=263168 Len=0","0.000178000"
"34861","42.272837","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=4772 Ack=85400 Win=263168 Len=0","0.000072000"
"34890","42.274425","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=4772 Ack=118049 Win=263168 Len=0","0.000421000"
"34906","42.282841","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=4772 Ack=134415 Win=263168 Len=0","0.000349000"
"34932","42.295081","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=4772 Ack=153209 Win=263168 Len=0","0.000307000"
"35892","42.993844","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=153209 Ack=5946 Win=65536 Len=0","0.013557000"
"35897","43.292084","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=5946 Ack=154324 Win=261888 Len=0","0.042165000"
"38084","46.178871","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=154324 Ack=7293 Win=65536 Len=0","0.045577000"
"38114","46.577720","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=7293 Ack=184014 Win=263168 Len=0","0.000527000"
"38143","46.585177","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=7293 Ack=216472 Win=263168 Len=0","0.000436000"
"39352","46.995017","162.159.138.60","10.100.102.10","TCP","60","443  >  51187 [ACK] Seq=6611 Ack=3051 Win=65536 Len=0","0.007993000"
"39353","46.995017","162.159.138.60","10.100.102.10","TCP","60","443  >  51187 [ACK] Seq=6611 Ack=3113 Win=65536 Len=0","0.007993000"
"39543","47.179319","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=216472 Ack=8529 Win=65536 Len=0","0.006569000"
"39549","47.364375","10.100.102.10","162.159.138.60","TCP","54","51187  >  443 [ACK] Seq=3113 Ack=11226 Win=263168 Len=0","0.000188000"
"39551","47.373432","10.100.102.10","162.159.138.60","TCP","66","[TCP Dup ACK 39549#1] 51187  >  443 [ACK] Seq=3113 Ack=11226 Win=263168 Len=0 SLE=11199 SRE=11226","0.000076000"
"39563","47.441514","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=8529 Ack=217585 Win=261888 Len=0","0.053410000"
"39671","48.354392","162.159.138.60","10.100.102.10","TCP","60","443  >  51187 [ACK] Seq=11226 Ack=4575 Win=65536 Len=0","0.006665000"
"39688","48.589622","10.100.102.10","162.159.138.60","TCP","54","51187  >  443 [ACK] Seq=4575 Ack=15881 Win=263168 Len=0","0.000131000"
"39690","48.623512","10.100.102.10","162.159.138.60","TCP","66","[TCP Dup ACK 39688#1] 51187  >  443 [ACK] Seq=4575 Ack=15881 Win=263168 Len=0 SLE=15854 SRE=15881","0.000070000"
"39862","49.248647","162.159.138.60","10.100.102.10","TCP","60","443  >  51187 [ACK] Seq=15881 Ack=5874 Win=65536 Len=0","0.008362000"
"39883","49.389320","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=217585 Ack=9791 Win=65536 Len=0","0.006235000"
"39886","49.394473","162.159.138.60","10.100.102.10","TCP","60","443  >  51184 [ACK] Seq=2266 Ack=3516 Win=65536 Len=0","0.008683000"
"39888","49.395504","162.159.138.60","10.100.102.10","TCP","66","443  >  51207 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192","0.006849000"
"39889","49.395504","162.159.138.60","10.100.102.10","TCP","66","443  >  51209 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192","0.005831000"
"39890","49.395504","162.159.138.60","10.100.102.10","TCP","66","443  >  51208 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192","0.006050000"
"39891","49.395748","10.100.102.10","162.159.138.60","TCP","54","51207  >  443 [ACK] Seq=1 Ack=1 Win=263168 Len=0","0.000244000"
"39892","49.395833","10.100.102.10","162.159.138.60","TCP","54","51209  >  443 [ACK] Seq=1 Ack=1 Win=263168 Len=0","0.000329000"
"39893","49.395877","10.100.102.10","162.159.138.60","TCP","54","51208  >  443 [ACK] Seq=1 Ack=1 Win=263168 Len=0","0.000373000"
"39928","49.404494","162.159.138.60","10.100.102.10","TCP","60","443  >  51207 [ACK] Seq=1 Ack=1149 Win=65536 Len=0","0.007597000"
"39936","49.406442","162.159.138.60","10.100.102.10","TCP","60","443  >  51209 [ACK] Seq=1 Ack=658 Win=65536 Len=0","0.007773000"
"39939","49.406690","10.100.102.10","162.159.138.60","TLSv1.3","118","Change Cipher Spec, Application Data","0.000611000"
