"No.","Time","Source","Destination","Protocol","Length","Info","RTT"
"2","0.010108","142.251.37.78","10.100.102.10","TCP","66","443  >  49284 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=256","0.010108000"
"3","0.010557","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=1 Ack=1 Win=263168 Len=0","0.000449000"
"5","0.020488","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=1 Ack=664 Win=65024 Len=0","0.008840000"
"11","0.073556","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=664 Ack=6838 Win=263168 Len=0","0.000383000"
"15","0.093656","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=6838 Ack=728 Win=65536 Len=0","0.008858000"
"17","0.094698","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=7452 Ack=2124 Win=68608 Len=0","0.008198000"
"19","0.095237","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=2124 Ack=7483 Win=262400 Len=0","0.000114000"
"21","0.109664","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=7483 Ack=2155 Win=68608 Len=0","0.014305000"
"27","0.209971","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=2155 Ack=12711 Win=263168 Len=0","0.000211000"
"32","0.229054","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=2155 Ack=18311 Win=263168 Len=0","0.000159000"
"36","0.230371","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=2155 Ack=21792 Win=263168 Len=0","0.000159000"
"41","0.255235","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=2155 Ack=27392 Win=263168 Len=0","0.000306000"
"47","0.259622","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=2155 Ack=32874 Win=263168 Len=0","0.000221000"
"49","0.261016","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=2155 Ack=33315 Win=262656 Len=0","0.000258000"
"53","0.262837","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=2155 Ack=33929 Win=262144 Len=0","0.000130000"
